MoleculeGroup	PrecursorName	PrecursorFormula	PrecursorAdduct	PrecursorMz	PrecursorCharge	ProductName	ProductFormula	ProductAdduct	ProductMz	ProductCharge	Note
LTB4	LTB4{d4}	C20H28H'4O4	[M-H]1-	339.247890160909	-1	precursor	C20H28H'4O4	[M-H]1-	339.247890160909	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	611.3175		[M-H]1-	611.3175	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	513.2803		[M-H]1-	513.2803	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	306.0768		[M-H]1-	306.0768	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	288.0663		[M-H]1-	288.0663	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	272.0890		[M-H]1-	272.0890	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	254.0785		[M-H]1-	254.0785	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	210.0887		[M-H]1-	210.0887	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	143.0464		[M-H]1-	143.0464	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	128.0355		[M-H]1-	128.0355	-1	
LTC4	LTC4{d5}	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	precursor	C30H42H'5N3O9S	[M-H]1-	629.327408279909	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	482.2744		[M-H]1-	482.2744	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	338.2209		[M-H]1-	338.2209	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	294.2310		[M-H]1-	294.2310	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	240.1842		[M-H]1-	240.1842	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	177.0340		[M-H]1-	177.0340	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	160.0201		[M-H]1-	160.0201	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	143.0463		[M-H]1-	143.0463	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	99.0565		[M-H]1-	99.0565	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	58.0295		[M-H]1-	58.0295	-1	
LTD4	LTD4{d5}	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	precursor	C25H35H'5N2O6S	[M-H]1-	500.284815144909	-1	
Maresin 1	Maresin 1	C22H32O4	[M-H]1-	359.222783184909	-1	341.2121		[M-H]1-	341.2121	-1	
Maresin 1	Maresin 1	C22H32O4	[M-H]1-	359.222783184909	-1	297.2223		[M-H]1-	297.2223	-1	
